"time","pistonCylinder.DieselCycle.curve_pVol[1].arr_V[1]","pistonCylinder.DieselCycle.curve_pVol[1].arr_V[2]","pistonCylinder.DieselCycle.curve_pVol[1].arr_V[3]","pistonCylinder.DieselCycle.curve_pVol[1].arr_V[4]","pistonCylinder.DieselCycle.curve_pVol[1].arr_V[5]","pistonCylinder.DieselCycle.curve_pVol[1].arr_V[6]","pistonCylinder.DieselCycle.curve_pVol[1].arr_V[7]","pistonCylinder.DieselCycle.curve_pVol[1].arr_V[8]","pistonCylinder.DieselCycle.curve_pVol[1].arr_V[9]","pistonCylinder.DieselCycle.curve_pVol[1].arr_V[10]","pistonCylinder.DieselCycle.curve_pVol[1].arr_p[1]","pistonCylinder.DieselCycle.curve_pVol[1].arr_p[2]","pistonCylinder.DieselCycle.curve_pVol[1].arr_p[3]","pistonCylinder.DieselCycle.curve_pVol[1].arr_p[4]","pistonCylinder.DieselCycle.curve_pVol[1].arr_p[5]","pistonCylinder.DieselCycle.curve_pVol[1].arr_p[6]","pistonCylinder.DieselCycle.curve_pVol[1].arr_p[7]","pistonCylinder.DieselCycle.curve_pVol[1].arr_p[8]","pistonCylinder.DieselCycle.curve_pVol[1].arr_p[9]","pistonCylinder.DieselCycle.curve_pVol[1].arr_p[10]","pistonCylinder.DieselCycle.curve_pVol[2].arr_V[1]","pistonCylinder.DieselCycle.curve_pVol[2].arr_V[2]","pistonCylinder.DieselCycle.curve_pVol[2].arr_V[3]","pistonCylinder.DieselCycle.curve_pVol[2].arr_V[4]","pistonCylinder.DieselCycle.curve_pVol[2].arr_V[5]","pistonCylinder.DieselCycle.curve_pVol[2].arr_V[6]","pistonCylinder.DieselCycle.curve_pVol[2].arr_V[7]","pistonCylinder.DieselCycle.curve_pVol[2].arr_V[8]","pistonCylinder.DieselCycle.curve_pVol[2].arr_V[9]","pistonCylinder.DieselCycle.curve_pVol[2].arr_V[10]","pistonCylinder.DieselCycle.curve_pVol[2].arr_p[1]","pistonCylinder.DieselCycle.curve_pVol[2].arr_p[2]","pistonCylinder.DieselCycle.curve_pVol[2].arr_p[3]","pistonCylinder.DieselCycle.curve_pVol[2].arr_p[4]","pistonCylinder.DieselCycle.curve_pVol[2].arr_p[5]","pistonCylinder.DieselCycle.curve_pVol[2].arr_p[6]","pistonCylinder.DieselCycle.curve_pVol[2].arr_p[7]","pistonCylinder.DieselCycle.curve_pVol[2].arr_p[8]","pistonCylinder.DieselCycle.curve_pVol[2].arr_p[9]","pistonCylinder.DieselCycle.curve_pVol[2].arr_p[10]","pistonCylinder.DieselCycle.curve_pVol[3].arr_V[1]","pistonCylinder.DieselCycle.curve_pVol[3].arr_V[2]","pistonCylinder.DieselCycle.curve_pVol[3].arr_V[3]","pistonCylinder.DieselCycle.curve_pVol[3].arr_V[4]","pistonCylinder.DieselCycle.curve_pVol[3].arr_V[5]","pistonCylinder.DieselCycle.curve_pVol[3].arr_V[6]","pistonCylinder.DieselCycle.curve_pVol[3].arr_V[7]","pistonCylinder.DieselCycle.curve_pVol[3].arr_V[8]","pistonCylinder.DieselCycle.curve_pVol[3].arr_V[9]","pistonCylinder.DieselCycle.curve_pVol[3].arr_V[10]","pistonCylinder.DieselCycle.curve_pVol[3].arr_p[1]","pistonCylinder.DieselCycle.curve_pVol[3].arr_p[2]","pistonCylinder.DieselCycle.curve_pVol[3].arr_p[3]","pistonCylinder.DieselCycle.curve_pVol[3].arr_p[4]","pistonCylinder.DieselCycle.curve_pVol[3].arr_p[5]","pistonCylinder.DieselCycle.curve_pVol[3].arr_p[6]","pistonCylinder.DieselCycle.curve_pVol[3].arr_p[7]","pistonCylinder.DieselCycle.curve_pVol[3].arr_p[8]","pistonCylinder.DieselCycle.curve_pVol[3].arr_p[9]","pistonCylinder.DieselCycle.curve_pVol[3].arr_p[10]","pistonCylinder.DieselCycle.curve_pVol[4].arr_V[1]","pistonCylinder.DieselCycle.curve_pVol[4].arr_V[2]","pistonCylinder.DieselCycle.curve_pVol[4].arr_V[3]","pistonCylinder.DieselCycle.curve_pVol[4].arr_V[4]","pistonCylinder.DieselCycle.curve_pVol[4].arr_V[5]","pistonCylinder.DieselCycle.curve_pVol[4].arr_V[6]","pistonCylinder.DieselCycle.curve_pVol[4].arr_V[7]","pistonCylinder.DieselCycle.curve_pVol[4].arr_V[8]","pistonCylinder.DieselCycle.curve_pVol[4].arr_V[9]","pistonCylinder.DieselCycle.curve_pVol[4].arr_V[10]","pistonCylinder.DieselCycle.curve_pVol[4].arr_p[1]","pistonCylinder.DieselCycle.curve_pVol[4].arr_p[2]","pistonCylinder.DieselCycle.curve_pVol[4].arr_p[3]","pistonCylinder.DieselCycle.curve_pVol[4].arr_p[4]","pistonCylinder.DieselCycle.curve_pVol[4].arr_p[5]","pistonCylinder.DieselCycle.curve_pVol[4].arr_p[6]","pistonCylinder.DieselCycle.curve_pVol[4].arr_p[7]","pistonCylinder.DieselCycle.curve_pVol[4].arr_p[8]","pistonCylinder.DieselCycle.curve_pVol[4].arr_p[9]","pistonCylinder.DieselCycle.curve_pVol[4].arr_p[10]"
0,0.002317679999999997,0.0005801937766978111,0.0003709891360573562,0.0002814859606400412,0.0002303061294955176,0.0001966647151294463,0.000172640004475778,0.0001545086275736543,0.0001402733598530455,0.0001287600000000001,100347.9474001834,693192.9868371765,1286038.02627417,1878883.065711163,2471728.105148156,3064573.144585149,3657418.184022143,4250263.223459136,4843108.262896129,5435953.302333122,0.002317679999999997,0.0005801937766978111,0.0003709891360573562,0.0002814859606400412,0.0002303061294955176,0.0001966647151294463,0.000172640004475778,0.0001545086275736543,0.0001402733598530455,0.0001287600000000001,100347.9474001834,693192.9868371765,1286038.02627417,1878883.065711163,2471728.105148156,3064573.144585149,3657418.184022143,4250263.223459136,4843108.262896129,5435953.302333122,0.002317679999999999,0.001158963531405307,0.0008102022623027243,0.0006351540465476344,0.0005280052559471797,0.0004549131059045011,0.0004015053316799141,0.0003605774085895556,0.0003280963329027323,0.0003016182483906398,374399.8332953848,936794.6631884667,1499189.493081548,2061584.322974631,2623979.152867712,3186373.982760794,3748768.812653876,4311163.642546958,4873558.47244004,5435953.302333122,0.002317679999999999,0.001158963531405307,0.0008102022623027243,0.0006351540465476344,0.0005280052559471797,0.0004549131059045011,0.0004015053316799141,0.0003605774085895556,0.0003280963329027323,0.0003016182483906398,374399.8332953848,936794.6631884667,1499189.493081548,2061584.322974631,2623979.152867712,3186373.982760794,3748768.812653876,4311163.642546958,4873558.47244004,5435953.302333122
0.050025,0.002317679999999997,0.0005801937766978111,0.0003709891360573562,0.0002814859606400412,0.0002303061294955176,0.0001966647151294463,0.000172640004475778,0.0001545086275736543,0.0001402733598530455,0.0001287600000000001,100347.9474001834,693192.9868371765,1286038.02627417,1878883.065711163,2471728.105148156,3064573.144585149,3657418.184022143,4250263.223459136,4843108.262896129,5435953.302333122,0.002317679999999997,0.0005801937766978111,0.0003709891360573562,0.0002814859606400412,0.0002303061294955176,0.0001966647151294463,0.000172640004475778,0.0001545086275736543,0.0001402733598530455,0.0001287600000000001,100347.9474001834,693192.9868371765,1286038.02627417,1878883.065711163,2471728.105148156,3064573.144585149,3657418.184022143,4250263.223459136,4843108.262896129,5435953.302333122,0.002317680000000001,0.001158963531405308,0.0008102022623027237,0.0006351540465476332,0.0005280052559471795,0.0004549131059045007,0.0004015053316799141,0.000360577408589555,0.0003280963329027314,0.000301618248390639,374399.8332953847,936794.6631884665,1499189.493081548,2061584.32297463,2623979.152867712,3186373.982760794,3748768.812653875,4311163.642546958,4873558.47244004,5435953.302333122,0.002317680000000001,0.001158963531405308,0.0008102022623027237,0.0006351540465476332,0.0005280052559471795,0.0004549131059045007,0.0004015053316799141,0.000360577408589555,0.0003280963329027314,0.000301618248390639,374399.8332953847,936794.6631884665,1499189.493081548,2061584.32297463,2623979.152867712,3186373.982760794,3748768.812653875,4311163.642546958,4873558.47244004,5435953.302333122
0.10005,0.002317679999999997,0.0005801937766978111,0.0003709891360573566,0.0002814859606400412,0.0002303061294955179,0.0001966647151294464,0.0001726400044757781,0.0001545086275736545,0.0001402733598530455,0.0001287599999999999,100347.9474001834,693192.9868371758,1286038.026274168,1878883.065711161,2471728.105148153,3064573.144585146,3657418.184022138,4250263.223459131,4843108.262896123,5435953.302333115,0.002317679999999997,0.0005801937766978111,0.0003709891360573566,0.0002814859606400412,0.0002303061294955179,0.0001966647151294464,0.0001726400044757781,0.0001545086275736545,0.0001402733598530455,0.0001287599999999999,100347.9474001834,693192.9868371758,1286038.026274168,1878883.065711161,2471728.105148153,3064573.144585146,3657418.184022138,4250263.223459131,4843108.262896123,5435953.302333115,0.002317680000000006,0.00115896353140531,0.0008102022623027274,0.0006351540465476366,0.0005280052559471818,0.0004549131059045024,0.0004015053316799151,0.0003605774085895569,0.0003280963329027327,0.0003016182483906404,374399.8332953872,936794.6631884681,1499189.493081549,2061584.32297463,2623979.152867711,3186373.982760792,3748768.812653873,4311163.642546953,4873558.472440035,5435953.302333115,0.002317680000000006,0.00115896353140531,0.0008102022623027274,0.0006351540465476366,0.0005280052559471818,0.0004549131059045024,0.0004015053316799151,0.0003605774085895569,0.0003280963329027327,0.0003016182483906404,374399.8332953872,936794.6631884681,1499189.493081549,2061584.32297463,2623979.152867711,3186373.982760792,3748768.812653873,4311163.642546953,4873558.472440035,5435953.302333115
0.150075,0.002317679999999997,0.0005801937766978123,0.0003709891360573565,0.0002814859606400412,0.0002303061294955179,0.0001966647151294463,0.0001726400044757781,0.0001545086275736544,0.0001402733598530454,0.0001287599999999999,100347.9474001834,693192.986837176,1286038.026274168,1878883.065711161,2471728.105148154,3064573.144585147,3657418.184022138,4250263.223459131,4843108.262896124,5435953.302333117,0.002317679999999997,0.0005801937766978123,0.0003709891360573565,0.0002814859606400412,0.0002303061294955179,0.0001966647151294463,0.0001726400044757781,0.0001545086275736544,0.0001402733598530454,0.0001287599999999999,100347.9474001834,693192.986837176,1286038.026274168,1878883.065711161,2471728.105148154,3064573.144585147,3657418.184022138,4250263.223459131,4843108.262896124,5435953.302333117,0.00231768,0.001158963531405311,0.0008102022623027258,0.0006351540465476346,0.0005280052559471806,0.0004549131059045018,0.0004015053316799147,0.0003605774085895563,0.0003280963329027321,0.0003016182483906406,374399.8332953852,936794.6631884665,1499189.493081548,2061584.322974629,2623979.15286771,3186373.982760792,3748768.812653873,4311163.642546955,4873558.472440036,5435953.302333117,0.00231768,0.001158963531405311,0.0008102022623027258,0.0006351540465476346,0.0005280052559471806,0.0004549131059045018,0.0004015053316799147,0.0003605774085895563,0.0003280963329027321,0.0003016182483906406,374399.8332953852,936794.6631884665,1499189.493081548,2061584.322974629,2623979.15286771,3186373.982760792,3748768.812653873,4311163.642546955,4873558.472440036,5435953.302333117
0.2001,0.002317679999999997,0.0005801937766978107,0.0003709891360573558,0.0002814859606400409,0.0002303061294955174,0.0001966647151294461,0.0001726400044757779,0.0001545086275736541,0.0001402733598530453,0.00012876,100347.9474001834,693192.9868371772,1286038.026274171,1878883.065711165,2471728.105148159,3064573.144585152,3657418.184022146,4250263.223459139,4843108.262896133,5435953.302333127,0.002317679999999997,0.0005801937766978107,0.0003709891360573558,0.0002814859606400409,0.0002303061294955174,0.0001966647151294461,0.0001726400044757779,0.0001545086275736541,0.0001402733598530453,0.00012876,100347.9474001834,693192.9868371772,1286038.026274171,1878883.065711165,2471728.105148159,3064573.144585152,3657418.184022146,4250263.223459139,4843108.262896133,5435953.302333127,0.002317679999999996,0.001158963531405306,0.0008102022623027212,0.0006351540465476323,0.0005280052559471779,0.0004549131059045004,0.0004015053316799133,0.0003605774085895546,0.0003280963329027311,0.0003016182483906386,374399.8332953841,936794.6631884667,1499189.493081549,2061584.322974632,2623979.152867714,3186373.982760797,3748768.81265388,4311163.642546962,4873558.472440045,5435953.302333127,0.002317679999999996,0.001158963531405306,0.0008102022623027212,0.0006351540465476323,0.0005280052559471779,0.0004549131059045004,0.0004015053316799133,0.0003605774085895546,0.0003280963329027311,0.0003016182483906386,374399.8332953841,936794.6631884667,1499189.493081549,2061584.322974632,2623979.152867714,3186373.982760797,3748768.81265388,4311163.642546962,4873558.472440045,5435953.302333127
0.250125,0.002317679999999997,0.0005801937766978111,0.0003709891360573561,0.0002814859606400411,0.0002303061294955176,0.0001966647151294462,0.0001726400044757779,0.0001545086275736543,0.0001402733598530455,0.0001287600000000001,100347.9474001834,693192.9868371767,1286038.02627417,1878883.065711163,2471728.105148157,3064573.14458515,3657418.184022143,4250263.223459137,4843108.26289613,5435953.302333123,0.002317679999999997,0.0005801937766978111,0.0003709891360573561,0.0002814859606400411,0.0002303061294955176,0.0001966647151294462,0.0001726400044757779,0.0001545086275736543,0.0001402733598530455,0.0001287600000000001,100347.9474001834,693192.9868371767,1286038.02627417,1878883.065711163,2471728.105148157,3064573.14458515,3657418.184022143,4250263.223459137,4843108.26289613,5435953.302333123,0.002317680000000003,0.001158963531405307,0.0008102022623027246,0.0006351540465476346,0.000528005255947179,0.0004549131059045011,0.0004015053316799139,0.0003605774085895555,0.0003280963329027322,0.0003016182483906402,374399.8332953853,936794.6631884674,1499189.493081549,2061584.322974631,2623979.152867713,3186373.982760795,3748768.812653877,4311163.642546958,4873558.472440042,5435953.302333123,0.002317680000000003,0.001158963531405307,0.0008102022623027246,0.0006351540465476346,0.000528005255947179,0.0004549131059045011,0.0004015053316799139,0.0003605774085895555,0.0003280963329027322,0.0003016182483906402,374399.8332953853,936794.6631884674,1499189.493081549,2061584.322974631,2623979.152867713,3186373.982760795,3748768.812653877,4311163.642546958,4873558.472440042,5435953.302333123
0.30015,0.002317679999999997,0.0005801937766978111,0.0003709891360573562,0.0002814859606400412,0.0002303061294955176,0.0001966647151294463,0.000172640004475778,0.0001545086275736543,0.0001402733598530455,0.0001287600000000001,100347.9474001834,693192.9868371765,1286038.02627417,1878883.065711163,2471728.105148156,3064573.144585149,3657418.184022143,4250263.223459136,4843108.262896129,5435953.302333122,0.002317679999999997,0.0005801937766978111,0.0003709891360573562,0.0002814859606400412,0.0002303061294955176,0.0001966647151294463,0.000172640004475778,0.0001545086275736543,0.0001402733598530455,0.0001287600000000001,100347.9474001834,693192.9868371765,1286038.02627417,1878883.065711163,2471728.105148156,3064573.144585149,3657418.184022143,4250263.223459136,4843108.262896129,5435953.302333122,0.002317680000000003,0.001158963531405309,0.000810202262302724,0.0006351540465476332,0.0005280052559471795,0.0004549131059045007,0.0004015053316799137,0.000360577408589555,0.0003280963329027314,0.000301618248390639,374399.8332953838,936794.6631884658,1499189.493081548,2061584.32297463,2623979.152867712,3186373.982760794,3748768.812653876,4311163.642546958,4873558.47244004,5435953.302333122,0.002317680000000003,0.001158963531405309,0.000810202262302724,0.0006351540465476332,0.0005280052559471795,0.0004549131059045007,0.0004015053316799137,0.000360577408589555,0.0003280963329027314,0.000301618248390639,374399.8332953838,936794.6631884658,1499189.493081548,2061584.32297463,2623979.152867712,3186373.982760794,3748768.812653876,4311163.642546958,4873558.47244004,5435953.302333122
0.350175,0.002317679999999997,0.0005801937766978111,0.0003709891360573562,0.0002814859606400412,0.0002303061294955176,0.0001966647151294463,0.000172640004475778,0.0001545086275736543,0.0001402733598530455,0.0001287600000000001,100347.9474001834,693192.9868371765,1286038.02627417,1878883.065711163,2471728.105148156,3064573.144585149,3657418.184022143,4250263.223459136,4843108.262896129,5435953.302333122,0.002317679999999997,0.0005801937766978111,0.0003709891360573562,0.0002814859606400412,0.0002303061294955176,0.0001966647151294463,0.000172640004475778,0.0001545086275736543,0.0001402733598530455,0.0001287600000000001,100347.9474001834,693192.9868371765,1286038.02627417,1878883.065711163,2471728.105148156,3064573.144585149,3657418.184022143,4250263.223459136,4843108.262896129,5435953.302333122,0.002317679999999997,0.001158963531405307,0.0008102022623027235,0.0006351540465476331,0.0005280052559471786,0.0004549131059045007,0.0004015053316799141,0.0003605774085895554,0.0003280963329027314,0.000301618248390639,374399.8332953852,936794.663188467,1499189.493081548,2061584.322974631,2623979.152867712,3186373.982760794,3748768.812653875,4311163.642546957,4873558.47244004,5435953.30233312,0.002317679999999997,0.001158963531405307,0.0008102022623027235,0.0006351540465476331,0.0005280052559471786,0.0004549131059045007,0.0004015053316799141,0.0003605774085895554,0.0003280963329027314,0.000301618248390639,374399.8332953852,936794.663188467,1499189.493081548,2061584.322974631,2623979.152867712,3186373.982760794,3748768.812653875,4311163.642546957,4873558.47244004,5435953.30233312
0.4002,0.002317679999999997,0.0005801937766978123,0.0003709891360573565,0.0002814859606400412,0.0002303061294955179,0.0001966647151294463,0.0001726400044757781,0.0001545086275736544,0.0001402733598530454,0.0001287599999999999,100347.9474001834,693192.986837176,1286038.026274168,1878883.065711161,2471728.105148154,3064573.144585147,3657418.184022138,4250263.223459131,4843108.262896124,5435953.302333117,0.002317679999999997,0.0005801937766978123,0.0003709891360573565,0.0002814859606400412,0.0002303061294955179,0.0001966647151294463,0.0001726400044757781,0.0001545086275736544,0.0001402733598530454,0.0001287599999999999,100347.9474001834,693192.986837176,1286038.026274168,1878883.065711161,2471728.105148154,3064573.144585147,3657418.184022138,4250263.223459131,4843108.262896124,5435953.302333117,0.00231768,0.001158963531405311,0.0008102022623027258,0.0006351540465476346,0.0005280052559471806,0.0004549131059045018,0.0004015053316799147,0.0003605774085895563,0.0003280963329027321,0.0003016182483906406,374399.8332953852,936794.6631884665,1499189.493081548,2061584.322974629,2623979.15286771,3186373.982760792,3748768.812653873,4311163.642546955,4873558.472440036,5435953.302333117,0.00231768,0.001158963531405311,0.0008102022623027258,0.0006351540465476346,0.0005280052559471806,0.0004549131059045018,0.0004015053316799147,0.0003605774085895563,0.0003280963329027321,0.0003016182483906406,374399.8332953852,936794.6631884665,1499189.493081548,2061584.322974629,2623979.15286771,3186373.982760792,3748768.812653873,4311163.642546955,4873558.472440036,5435953.302333117
0.450225,0.002317679999999997,0.0005801937766978123,0.0003709891360573565,0.0002814859606400412,0.0002303061294955179,0.0001966647151294463,0.0001726400044757781,0.0001545086275736544,0.0001402733598530454,0.0001287599999999999,100347.9474001834,693192.986837176,1286038.026274168,1878883.065711161,2471728.105148154,3064573.144585147,3657418.184022138,4250263.223459131,4843108.262896124,5435953.302333117,0.002317679999999997,0.0005801937766978123,0.0003709891360573565,0.0002814859606400412,0.0002303061294955179,0.0001966647151294463,0.0001726400044757781,0.0001545086275736544,0.0001402733598530454,0.0001287599999999999,100347.9474001834,693192.986837176,1286038.026274168,1878883.065711161,2471728.105148154,3064573.144585147,3657418.184022138,4250263.223459131,4843108.262896124,5435953.302333117,0.002317679999999999,0.00115896353140531,0.0008102022623027255,0.0006351540465476346,0.0005280052559471806,0.0004549131059045018,0.0004015053316799147,0.0003605774085895563,0.0003280963329027321,0.0003016182483906406,374399.8332953854,936794.6631884667,1499189.493081548,2061584.322974629,2623979.15286771,3186373.982760792,3748768.812653873,4311163.642546955,4873558.472440036,5435953.302333117,0.002317679999999999,0.00115896353140531,0.0008102022623027255,0.0006351540465476346,0.0005280052559471806,0.0004549131059045018,0.0004015053316799147,0.0003605774085895563,0.0003280963329027321,0.0003016182483906406,374399.8332953854,936794.6631884667,1499189.493081548,2061584.322974629,2623979.15286771,3186373.982760792,3748768.812653873,4311163.642546955,4873558.472440036,5435953.302333117
