"time","PistonCylinder.OttoCycle.curve_pVol[1].arr_V[1]","PistonCylinder.OttoCycle.curve_pVol[1].arr_V[2]","PistonCylinder.OttoCycle.curve_pVol[1].arr_V[3]","PistonCylinder.OttoCycle.curve_pVol[1].arr_V[4]","PistonCylinder.OttoCycle.curve_pVol[1].arr_V[5]","PistonCylinder.OttoCycle.curve_pVol[1].arr_V[6]","PistonCylinder.OttoCycle.curve_pVol[1].arr_V[7]","PistonCylinder.OttoCycle.curve_pVol[1].arr_V[8]","PistonCylinder.OttoCycle.curve_pVol[1].arr_V[9]","PistonCylinder.OttoCycle.curve_pVol[1].arr_V[10]","PistonCylinder.OttoCycle.curve_pVol[1].arr_p[1]","PistonCylinder.OttoCycle.curve_pVol[1].arr_p[2]","PistonCylinder.OttoCycle.curve_pVol[1].arr_p[3]","PistonCylinder.OttoCycle.curve_pVol[1].arr_p[4]","PistonCylinder.OttoCycle.curve_pVol[1].arr_p[5]","PistonCylinder.OttoCycle.curve_pVol[1].arr_p[6]","PistonCylinder.OttoCycle.curve_pVol[1].arr_p[7]","PistonCylinder.OttoCycle.curve_pVol[1].arr_p[8]","PistonCylinder.OttoCycle.curve_pVol[1].arr_p[9]","PistonCylinder.OttoCycle.curve_pVol[1].arr_p[10]","PistonCylinder.OttoCycle.curve_pVol[2].arr_V[1]","PistonCylinder.OttoCycle.curve_pVol[2].arr_V[2]","PistonCylinder.OttoCycle.curve_pVol[2].arr_V[3]","PistonCylinder.OttoCycle.curve_pVol[2].arr_V[4]","PistonCylinder.OttoCycle.curve_pVol[2].arr_V[5]","PistonCylinder.OttoCycle.curve_pVol[2].arr_V[6]","PistonCylinder.OttoCycle.curve_pVol[2].arr_V[7]","PistonCylinder.OttoCycle.curve_pVol[2].arr_V[8]","PistonCylinder.OttoCycle.curve_pVol[2].arr_V[9]","PistonCylinder.OttoCycle.curve_pVol[2].arr_V[10]","PistonCylinder.OttoCycle.curve_pVol[2].arr_p[1]","PistonCylinder.OttoCycle.curve_pVol[2].arr_p[2]","PistonCylinder.OttoCycle.curve_pVol[2].arr_p[3]","PistonCylinder.OttoCycle.curve_pVol[2].arr_p[4]","PistonCylinder.OttoCycle.curve_pVol[2].arr_p[5]","PistonCylinder.OttoCycle.curve_pVol[2].arr_p[6]","PistonCylinder.OttoCycle.curve_pVol[2].arr_p[7]","PistonCylinder.OttoCycle.curve_pVol[2].arr_p[8]","PistonCylinder.OttoCycle.curve_pVol[2].arr_p[9]","PistonCylinder.OttoCycle.curve_pVol[2].arr_p[10]","PistonCylinder.OttoCycle.curve_pVol[3].arr_V[1]","PistonCylinder.OttoCycle.curve_pVol[3].arr_V[2]","PistonCylinder.OttoCycle.curve_pVol[3].arr_V[3]","PistonCylinder.OttoCycle.curve_pVol[3].arr_V[4]","PistonCylinder.OttoCycle.curve_pVol[3].arr_V[5]","PistonCylinder.OttoCycle.curve_pVol[3].arr_V[6]","PistonCylinder.OttoCycle.curve_pVol[3].arr_V[7]","PistonCylinder.OttoCycle.curve_pVol[3].arr_V[8]","PistonCylinder.OttoCycle.curve_pVol[3].arr_V[9]","PistonCylinder.OttoCycle.curve_pVol[3].arr_V[10]","PistonCylinder.OttoCycle.curve_pVol[3].arr_p[1]","PistonCylinder.OttoCycle.curve_pVol[3].arr_p[2]","PistonCylinder.OttoCycle.curve_pVol[3].arr_p[3]","PistonCylinder.OttoCycle.curve_pVol[3].arr_p[4]","PistonCylinder.OttoCycle.curve_pVol[3].arr_p[5]","PistonCylinder.OttoCycle.curve_pVol[3].arr_p[6]","PistonCylinder.OttoCycle.curve_pVol[3].arr_p[7]","PistonCylinder.OttoCycle.curve_pVol[3].arr_p[8]","PistonCylinder.OttoCycle.curve_pVol[3].arr_p[9]","PistonCylinder.OttoCycle.curve_pVol[3].arr_p[10]","PistonCylinder.OttoCycle.curve_pVol[4].arr_V[1]","PistonCylinder.OttoCycle.curve_pVol[4].arr_V[2]","PistonCylinder.OttoCycle.curve_pVol[4].arr_V[3]","PistonCylinder.OttoCycle.curve_pVol[4].arr_V[4]","PistonCylinder.OttoCycle.curve_pVol[4].arr_V[5]","PistonCylinder.OttoCycle.curve_pVol[4].arr_V[6]","PistonCylinder.OttoCycle.curve_pVol[4].arr_V[7]","PistonCylinder.OttoCycle.curve_pVol[4].arr_V[8]","PistonCylinder.OttoCycle.curve_pVol[4].arr_V[9]","PistonCylinder.OttoCycle.curve_pVol[4].arr_V[10]","PistonCylinder.OttoCycle.curve_pVol[4].arr_p[1]","PistonCylinder.OttoCycle.curve_pVol[4].arr_p[2]","PistonCylinder.OttoCycle.curve_pVol[4].arr_p[3]","PistonCylinder.OttoCycle.curve_pVol[4].arr_p[4]","PistonCylinder.OttoCycle.curve_pVol[4].arr_p[5]","PistonCylinder.OttoCycle.curve_pVol[4].arr_p[6]","PistonCylinder.OttoCycle.curve_pVol[4].arr_p[7]","PistonCylinder.OttoCycle.curve_pVol[4].arr_p[8]","PistonCylinder.OttoCycle.curve_pVol[4].arr_p[9]","PistonCylinder.OttoCycle.curve_pVol[4].arr_p[10]"
0,0.001676199999999998,0.0007529621152906064,0.0005203229738154765,0.0004078396557337164,0.000339897152291365,0.0002937898539345393,0.0002601570959514487,0.0002343835334182986,0.0002139112580474487,0.0001972000000000003,85254.09785837366,261043.3775720925,436832.6572858113,612621.9369995302,788411.216713249,964200.4964269677,1139989.776140687,1315779.055854406,1491568.335568124,1667357.615281843,0.001676199999999998,0.0007529621152906064,0.0005203229738154765,0.0004078396557337164,0.000339897152291365,0.0002937898539345393,0.0002601570959514487,0.0002343835334182986,0.0002139112580474487,0.0001972000000000003,85254.09785837366,261043.3775720925,436832.6572858113,612621.9369995302,788411.216713249,964200.4964269677,1139989.776140687,1315779.055854406,1491568.335568124,1667357.615281843,0.001676200000000001,0.000790772403377169,0.0005436869631125762,0.0004226259917645537,0.0003494618372196686,0.0002999567120206174,0.0002639910143761202,0.000236548579880514,0.0002148440511355175,0.0001971999999999998,515551.9662282724,1368094.116150367,2220636.266072462,3073178.415994556,3925720.565916651,4778262.715838746,5630804.865760841,6483347.015682936,7335889.16560503,8188431.315527125,0.001676200000000001,0.000790772403377169,0.0005436869631125762,0.0004226259917645537,0.0003494618372196686,0.0002999567120206174,0.0002639910143761202,0.000236548579880514,0.0002148440511355175,0.0001971999999999998,515551.9662282724,1368094.116150367,2220636.266072462,3073178.415994556,3925720.565916651,4778262.715838746,5630804.865760841,6483347.015682936,7335889.16560503,8188431.315527125
0.05,0.001676199999999998,0.0007529621152906067,0.000520322973815477,0.0004078396557337166,0.0003398971522913653,0.0002937898539345392,0.0002601570959514489,0.0002343835334182988,0.0002139112580474489,0.0001972000000000002,85254.09785837366,261043.3775720924,436832.657285811,612621.9369995298,788411.2167132484,964200.4964269671,1139989.776140686,1315779.055854405,1491568.335568123,1667357.615281842,0.001676199999999998,0.0007529621152906067,0.000520322973815477,0.0004078396557337166,0.0003398971522913653,0.0002937898539345392,0.0002601570959514489,0.0002343835334182988,0.0002139112580474489,0.0001972000000000002,85254.09785837366,261043.3775720924,436832.657285811,612621.9369995298,788411.2167132484,964200.4964269671,1139989.776140686,1315779.055854405,1491568.335568123,1667357.615281842,0.001676200000000002,0.0007907724033771696,0.0005436869631125762,0.0004226259917645538,0.0003494618372196682,0.0002999567120206175,0.0002639910143761202,0.000236548579880514,0.0002148440511355175,0.0001971999999999998,515551.9662282715,1368094.116150366,2220636.266072461,3073178.415994556,3925720.56591665,4778262.715838746,5630804.865760841,6483347.015682936,7335889.16560503,8188431.315527125,0.001676200000000002,0.0007907724033771696,0.0005436869631125762,0.0004226259917645538,0.0003494618372196682,0.0002999567120206175,0.0002639910143761202,0.000236548579880514,0.0002148440511355175,0.0001971999999999998,515551.9662282715,1368094.116150366,2220636.266072461,3073178.415994556,3925720.56591665,4778262.715838746,5630804.865760841,6483347.015682936,7335889.16560503,8188431.315527125
0.1,0.001676199999999998,0.0007529621152906067,0.000520322973815477,0.0004078396557337166,0.0003398971522913653,0.0002937898539345392,0.0002601570959514489,0.0002343835334182988,0.0002139112580474489,0.0001972000000000002,85254.09785837366,261043.3775720924,436832.657285811,612621.9369995298,788411.2167132484,964200.4964269671,1139989.776140686,1315779.055854405,1491568.335568123,1667357.615281842,0.001676199999999998,0.0007529621152906067,0.000520322973815477,0.0004078396557337166,0.0003398971522913653,0.0002937898539345392,0.0002601570959514489,0.0002343835334182988,0.0002139112580474489,0.0001972000000000002,85254.09785837366,261043.3775720924,436832.657285811,612621.9369995298,788411.2167132484,964200.4964269671,1139989.776140686,1315779.055854405,1491568.335568123,1667357.615281842,0.001676200000000001,0.000790772403377169,0.0005436869631125762,0.0004226259917645537,0.0003494618372196686,0.0002999567120206174,0.0002639910143761202,0.000236548579880514,0.0002148440511355175,0.0001971999999999998,515551.9662282724,1368094.116150367,2220636.266072462,3073178.415994556,3925720.565916651,4778262.715838746,5630804.865760841,6483347.015682936,7335889.16560503,8188431.315527125,0.001676200000000001,0.000790772403377169,0.0005436869631125762,0.0004226259917645537,0.0003494618372196686,0.0002999567120206174,0.0002639910143761202,0.000236548579880514,0.0002148440511355175,0.0001971999999999998,515551.9662282724,1368094.116150367,2220636.266072462,3073178.415994556,3925720.565916651,4778262.715838746,5630804.865760841,6483347.015682936,7335889.16560503,8188431.315527125
0.15,0.001676199999999998,0.000752962115290606,0.0005203229738154764,0.0004078396557337161,0.0003398971522913649,0.000293789853934539,0.0002601570959514488,0.0002343835334182983,0.0002139112580474486,0.0001972000000000002,85254.09785837366,261043.3775720926,436832.6572858115,612621.9369995305,788411.2167132493,964200.4964269684,1139989.776140687,1315779.055854406,1491568.335568125,1667357.615281844,0.001676199999999998,0.000752962115290606,0.0005203229738154764,0.0004078396557337161,0.0003398971522913649,0.000293789853934539,0.0002601570959514488,0.0002343835334182983,0.0002139112580474486,0.0001972000000000002,85254.09785837366,261043.3775720926,436832.6572858115,612621.9369995305,788411.2167132493,964200.4964269684,1139989.776140687,1315779.055854406,1491568.335568125,1667357.615281844,0.001676200000000001,0.0007907724033771693,0.0005436869631125762,0.0004226259917645536,0.0003494618372196686,0.0002999567120206174,0.0002639910143761202,0.0002365485798805139,0.0002148440511355175,0.0001971999999999997,515551.9662282717,1368094.116150367,2220636.266072462,3073178.415994557,3925720.565916652,4778262.715838746,5630804.865760842,6483347.015682938,7335889.165605033,8188431.315527128,0.001676200000000001,0.0007907724033771693,0.0005436869631125762,0.0004226259917645536,0.0003494618372196686,0.0002999567120206174,0.0002639910143761202,0.0002365485798805139,0.0002148440511355175,0.0001971999999999997,515551.9662282717,1368094.116150367,2220636.266072462,3073178.415994557,3925720.565916652,4778262.715838746,5630804.865760842,6483347.015682938,7335889.165605033,8188431.315527128
0.2,0.001676199999999998,0.0007529621152906059,0.0005203229738154756,0.000407839655733716,0.0003398971522913648,0.0002937898539345389,0.0002601570959514488,0.0002343835334182982,0.0002139112580474485,0.0001971999999999999,85254.09785837366,261043.3775720927,436832.6572858117,612621.9369995305,788411.2167132497,964200.4964269686,1139989.776140688,1315779.055854407,1491568.335568126,1667357.615281845,0.001676199999999998,0.0007529621152906059,0.0005203229738154756,0.000407839655733716,0.0003398971522913648,0.0002937898539345389,0.0002601570959514488,0.0002343835334182982,0.0002139112580474485,0.0001971999999999999,85254.09785837366,261043.3775720927,436832.6572858117,612621.9369995305,788411.2167132497,964200.4964269686,1139989.776140688,1315779.055854407,1491568.335568126,1667357.615281845,0.001676200000000002,0.0007907724033771696,0.0005436869631125762,0.0004226259917645538,0.0003494618372196686,0.0002999567120206174,0.0002639910143761202,0.0002365485798805139,0.0002148440511355175,0.0001971999999999998,515551.9662282714,1368094.116150366,2220636.266072461,3073178.415994556,3925720.565916651,4778262.715838746,5630804.865760841,6483347.015682936,7335889.165605031,8188431.315527126,0.001676200000000002,0.0007907724033771696,0.0005436869631125762,0.0004226259917645538,0.0003494618372196686,0.0002999567120206174,0.0002639910143761202,0.0002365485798805139,0.0002148440511355175,0.0001971999999999998,515551.9662282714,1368094.116150366,2220636.266072461,3073178.415994556,3925720.565916651,4778262.715838746,5630804.865760841,6483347.015682936,7335889.165605031,8188431.315527126
0.25,0.001676199999999998,0.0007529621152906074,0.0005203229738154774,0.0004078396557337168,0.0003398971522913651,0.0002937898539345393,0.0002601570959514492,0.0002343835334182992,0.0002139112580474488,0.0001972000000000005,85254.09785837366,261043.3775720921,436832.6572858106,612621.936999529,788411.2167132475,964200.4964269659,1139989.776140685,1315779.055854403,1491568.335568121,1667357.61528184,0.001676199999999998,0.0007529621152906074,0.0005203229738154774,0.0004078396557337168,0.0003398971522913651,0.0002937898539345393,0.0002601570959514492,0.0002343835334182992,0.0002139112580474488,0.0001972000000000005,85254.09785837366,261043.3775720921,436832.6572858106,612621.936999529,788411.2167132475,964200.4964269659,1139989.776140685,1315779.055854403,1491568.335568121,1667357.61528184,0.001676200000000002,0.0007907724033771703,0.0005436869631125766,0.0004226259917645539,0.0003494618372196685,0.0002999567120206176,0.0002639910143761203,0.0002365485798805141,0.0002148440511355176,0.0001971999999999998,515551.9662282702,1368094.116150365,2220636.26607246,3073178.415994554,3925720.565916649,4778262.715838743,5630804.865760839,6483347.015682933,7335889.165605027,8188431.315527122,0.001676200000000002,0.0007907724033771703,0.0005436869631125766,0.0004226259917645539,0.0003494618372196685,0.0002999567120206176,0.0002639910143761203,0.0002365485798805141,0.0002148440511355176,0.0001971999999999998,515551.9662282702,1368094.116150365,2220636.26607246,3073178.415994554,3925720.565916649,4778262.715838743,5630804.865760839,6483347.015682933,7335889.165605027,8188431.315527122
0.3,0.001676199999999998,0.000752962115290606,0.0005203229738154764,0.0004078396557337161,0.0003398971522913649,0.000293789853934539,0.0002601570959514488,0.0002343835334182983,0.0002139112580474486,0.0001972000000000002,85254.09785837366,261043.3775720926,436832.6572858115,612621.9369995305,788411.2167132493,964200.4964269684,1139989.776140687,1315779.055854406,1491568.335568125,1667357.615281844,0.001676199999999998,0.000752962115290606,0.0005203229738154764,0.0004078396557337161,0.0003398971522913649,0.000293789853934539,0.0002601570959514488,0.0002343835334182983,0.0002139112580474486,0.0001972000000000002,85254.09785837366,261043.3775720926,436832.6572858115,612621.9369995305,788411.2167132493,964200.4964269684,1139989.776140687,1315779.055854406,1491568.335568125,1667357.615281844,0.001676200000000001,0.0007907724033771694,0.0005436869631125762,0.0004226259917645537,0.0003494618372196686,0.0002999567120206175,0.0002639910143761202,0.000236548579880514,0.0002148440511355175,0.0001971999999999998,515551.9662282717,1368094.116150367,2220636.266072461,3073178.415994556,3925720.565916651,4778262.715838746,5630804.865760841,6483347.015682936,7335889.16560503,8188431.315527125,0.001676200000000001,0.0007907724033771694,0.0005436869631125762,0.0004226259917645537,0.0003494618372196686,0.0002999567120206175,0.0002639910143761202,0.000236548579880514,0.0002148440511355175,0.0001971999999999998,515551.9662282717,1368094.116150367,2220636.266072461,3073178.415994556,3925720.565916651,4778262.715838746,5630804.865760841,6483347.015682936,7335889.16560503,8188431.315527125
0.35,0.001676199999999998,0.000752962115290607,0.0005203229738154772,0.0004078396557337174,0.0003398971522913655,0.0002937898539345393,0.0002601570959514491,0.000234383533418299,0.0002139112580474487,0.0001972000000000003,85254.09785837366,261043.3775720923,436832.6572858108,612621.9369995294,788411.2167132479,964200.4964269666,1139989.776140685,1315779.055854404,1491568.335568123,1667357.615281841,0.001676199999999998,0.000752962115290607,0.0005203229738154772,0.0004078396557337174,0.0003398971522913655,0.0002937898539345393,0.0002601570959514491,0.000234383533418299,0.0002139112580474487,0.0001972000000000003,85254.09785837366,261043.3775720923,436832.6572858108,612621.9369995294,788411.2167132479,964200.4964269666,1139989.776140685,1315779.055854404,1491568.335568123,1667357.615281841,0.001676200000000002,0.0007907724033771697,0.0005436869631125764,0.0004226259917645539,0.0003494618372196684,0.0002999567120206176,0.0002639910143761203,0.000236548579880514,0.0002148440511355176,0.0001971999999999999,515551.9662282715,1368094.116150366,2220636.26607246,3073178.415994556,3925720.56591665,4778262.715838743,5630804.86576084,6483347.015682933,7335889.165605027,8188431.315527122,0.001676200000000002,0.0007907724033771697,0.0005436869631125764,0.0004226259917645539,0.0003494618372196684,0.0002999567120206176,0.0002639910143761203,0.000236548579880514,0.0002148440511355176,0.0001971999999999999,515551.9662282715,1368094.116150366,2220636.26607246,3073178.415994556,3925720.56591665,4778262.715838743,5630804.86576084,6483347.015682933,7335889.165605027,8188431.315527122
0.4,0.001676199999999998,0.0007529621152906065,0.0005203229738154768,0.0004078396557337166,0.0003398971522913651,0.0002937898539345393,0.0002601570959514488,0.0002343835334182987,0.0002139112580474488,0.0001972000000000003,85254.09785837366,261043.3775720924,436832.6572858111,612621.9369995298,788411.2167132486,964200.4964269674,1139989.776140686,1315779.055854405,1491568.335568124,1667357.615281843,0.001676199999999998,0.0007529621152906065,0.0005203229738154768,0.0004078396557337166,0.0003398971522913651,0.0002937898539345393,0.0002601570959514488,0.0002343835334182987,0.0002139112580474488,0.0001972000000000003,85254.09785837366,261043.3775720924,436832.6572858111,612621.9369995298,788411.2167132486,964200.4964269674,1139989.776140686,1315779.055854405,1491568.335568124,1667357.615281843,0.001676199999999996,0.0007907724033771693,0.0005436869631125762,0.0004226259917645537,0.0003494618372196686,0.0002999567120206174,0.0002639910143761202,0.0002365485798805139,0.0002148440511355175,0.0001971999999999998,515551.9662282719,1368094.116150367,2220636.266072462,3073178.415994556,3925720.565916651,4778262.715838746,5630804.865760841,6483347.015682936,7335889.165605031,8188431.315527126,0.001676199999999996,0.0007907724033771693,0.0005436869631125762,0.0004226259917645537,0.0003494618372196686,0.0002999567120206174,0.0002639910143761202,0.0002365485798805139,0.0002148440511355175,0.0001971999999999998,515551.9662282719,1368094.116150367,2220636.266072462,3073178.415994556,3925720.565916651,4778262.715838746,5630804.865760841,6483347.015682936,7335889.165605031,8188431.315527126
0.45,0.001676199999999998,0.0007529621152906065,0.0005203229738154768,0.0004078396557337166,0.0003398971522913651,0.0002937898539345393,0.0002601570959514488,0.0002343835334182987,0.0002139112580474488,0.0001972000000000003,85254.09785837366,261043.3775720924,436832.6572858111,612621.9369995298,788411.2167132486,964200.4964269674,1139989.776140686,1315779.055854405,1491568.335568124,1667357.615281843,0.001676199999999998,0.0007529621152906065,0.0005203229738154768,0.0004078396557337166,0.0003398971522913651,0.0002937898539345393,0.0002601570959514488,0.0002343835334182987,0.0002139112580474488,0.0001972000000000003,85254.09785837366,261043.3775720924,436832.6572858111,612621.9369995298,788411.2167132486,964200.4964269674,1139989.776140686,1315779.055854405,1491568.335568124,1667357.615281843,0.001676200000000003,0.0007907724033771696,0.0005436869631125762,0.0004226259917645537,0.0003494618372196686,0.0002999567120206175,0.0002639910143761202,0.0002365485798805139,0.0002148440511355175,0.0001971999999999998,515551.9662282712,1368094.116150366,2220636.266072461,3073178.415994556,3925720.565916651,4778262.715838746,5630804.865760841,6483347.015682936,7335889.165605031,8188431.315527126,0.001676200000000003,0.0007907724033771696,0.0005436869631125762,0.0004226259917645537,0.0003494618372196686,0.0002999567120206175,0.0002639910143761202,0.0002365485798805139,0.0002148440511355175,0.0001971999999999998,515551.9662282712,1368094.116150366,2220636.266072461,3073178.415994556,3925720.565916651,4778262.715838746,5630804.865760841,6483347.015682936,7335889.165605031,8188431.315527126
