"time","h","v","der(h)","der(v)","v_new","foo","flying","impact"
0.426,0.1098602199983748,-4.17906,-4.17906,-9.81,0,2,1,0
0.432,0.08460927999837188,-4.23792,-4.23792,-9.81,0,2,1,0
0.438,0.05900517999836914,-4.29678,-4.29678,-9.81,0,2,1,0
0.444,0.03304791999836645,-4.35564,-4.35564,-9.81,0,2,1,0
0.45,0.006737499998363677,-4.4145,-4.4145,-9.81,0,2,1,0
0.4515236410079387,-1.000053512223431e-10,-4.429446918287879,-4.429446918287879,-9.81,0,2,1,0
0.4515236410079387,-1.000053512223431e-10,3.100612842801515,3.100612842801515,-9.81,3.100612842801515,1,1,1
0.4515236410724442,1.000011612066864e-10,3.100612842168716,3.100612842168716,-9.81,3.100612842801515,1,1,1
0.4515236410724442,1.000011612066864e-10,3.100612842168716,3.100612842168716,-9.81,3.100612842801515,2,1,0
0.456,0.0137811707156939,3.056699761089394,3.056699761089394,-9.81,3.100612842801515,2,1,0
0.462,0.03194478928157062,2.997839761089394,2.997839761089394,-9.81,3.100612842801515,2,1,0
0.468,0.0497552478477369,2.938979761089394,2.938979761089394,-9.81,3.100612842801515,2,1,0
0.474,0.06721254641402422,2.880119761089395,2.880119761089395,-9.81,3.100612842801515,2,1,0
0.48,0.08431668498034681,2.821259761089394,2.821259761089394,-9.81,3.100612842801515,2,1,0
0.486,0.1010676635466968,2.762399761089394,2.762399761089394,-9.81,3.100612842801515,2,1,0
0.492,0.1174654821130951,2.703539761089394,2.703539761089394,-9.81,3.100612842801515,2,1,0
0.498,0.1335101406795418,2.644679761089394,2.644679761089394,-9.81,3.100612842801515,2,1,0
0.504,0.1492016392459619,2.585819761089394,2.585819761089394,-9.81,3.100612842801515,2,1,0
0.51,0.1645399778123842,2.526959761089394,2.526959761089394,-9.81,3.100612842801515,2,1,0
0.516,0.1795251563788184,2.468099761089394,2.468099761089394,-9.81,3.100612842801515,2,1,0
0.522,0.1941571749452647,2.409239761089394,2.409239761089394,-9.81,3.100612842801515,2,1,0
0.528,0.2084360335117229,2.350379761089394,2.350379761089394,-9.81,3.100612842801515,2,1,0
0.534,0.222361732078193,2.291519761089394,2.291519761089394,-9.81,3.100612842801515,2,1,0
0.54,0.2359342706446752,2.232659761089394,2.232659761089394,-9.81,3.100612842801515,2,1,0
0.546,0.2491536492111693,2.173799761089394,2.173799761089394,-9.81,3.100612842801515,2,1,0
0.552,0.2620198677776384,2.114939761089394,2.114939761089394,-9.81,3.100612842801515,2,1,0
0.5580000000000001,0.2745329263441098,2.056079761089394,2.056079761089394,-9.81,3.100612842801515,2,1,0
0.5639999999999999,0.2866928249105843,1.997219761089395,1.997219761089395,-9.81,3.100612842801515,2,1,0
0.57,0.2984995634770624,1.938359761089395,1.938359761089395,-9.81,3.100612842801515,2,1,0
0.576,0.3099531420435439,1.879499761089395,1.879499761089395,-9.81,3.100612842801515,2,1,0
0.582,0.3210535606100287,1.820639761089395,1.820639761089395,-9.81,3.100612842801515,2,1,0
0.588,0.3318008191765168,1.761779761089395,1.761779761089395,-9.81,3.100612842801515,2,1,0
0.594,0.3421949177430084,1.702919761089394,1.702919761089394,-9.81,3.100612842801515,2,1,0
0.6,0.3522358563095033,1.644059761089395,1.644059761089395,-9.81,3.100612842801515,2,1,0
0.606,0.3619236348760014,1.585199761089394,1.585199761089394,-9.81,3.100612842801515,2,1,0
0.612,0.371258253442503,1.526339761089394,1.526339761089394,-9.81,3.100612842801515,2,1,0
0.618,0.380239712009008,1.467479761089394,1.467479761089394,-9.81,3.100612842801515,2,1,0
0.624,0.3888680105755162,1.408619761089394,1.408619761089394,-9.81,3.100612842801515,2,1,0
0.63,0.3971431491420278,1.349759761089394,1.349759761089394,-9.81,3.100612842801515,2,1,0
0.636,0.4050651277085428,1.290899761089394,1.290899761089394,-9.81,3.100612842801515,2,1,0
0.642,0.4126339462750572,1.232039761089395,1.232039761089395,-9.81,3.100612842801515,2,1,0
0.648,0.4198496048415575,1.173179761089395,1.173179761089395,-9.81,3.100612842801515,2,1,0
0.654,0.4267121034080585,1.114319761089394,1.114319761089394,-9.81,3.100612842801515,2,1,0
0.66,0.4332214419745605,1.055459761089394,1.055459761089394,-9.81,3.100612842801515,2,1,0
0.666,0.4393776205410633,0.9965997610893944,0.9965997610893944,-9.81,3.100612842801515,2,1,0
0.672,0.4451806391075669,0.9377397610893943,0.9377397610893943,-9.81,3.100612842801515,2,1,0
0.678,0.4506304976740714,0.8788797610893944,0.8788797610893944,-9.81,3.100612842801515,2,1,0
0.6840000000000001,0.4557271962405767,0.8200197610893942,0.8200197610893942,-9.81,3.100612842801515,2,1,0
0.6899999999999999,0.4604707348070828,0.7611597610893952,0.7611597610893952,-9.81,3.100612842801515,2,1,0
0.696,0.4648611133735898,0.7022997610893953,0.7022997610893953,-9.81,3.100612842801515,2,1,0
0.702,0.4688983319400977,0.6434397610893952,0.6434397610893952,-9.81,3.100612842801515,2,1,0
0.708,0.4725823905066064,0.5845797610893952,0.5845797610893952,-9.81,3.100612842801515,2,1,0
0.714,0.4759132890731161,0.5257197610893949,0.5257197610893949,-9.81,3.100612842801515,2,1,0
0.72,0.4788910276396265,0.466859761089395,0.466859761089395,-9.81,3.100612842801515,2,1,0
0.726,0.4815156062061378,0.4079997610893948,0.4079997610893948,-9.81,3.100612842801515,2,1,0
0.732,0.4837870247726499,0.3491397610893949,0.3491397610893949,-9.81,3.100612842801515,2,1,0
0.738,0.485705283339163,0.2902797610893949,0.2902797610893949,-9.81,3.100612842801515,2,1,0
0.744,0.4872703819056768,0.2314197610893948,0.2314197610893948,-9.81,3.100612842801515,2,1,0
